"Post ID",Title,URLs,Categories
,Administration,http://yoga-test.testing.com.ua/administration/,"English, pll_63efdb3856fda"
,"Ana Godinho Gil",http://yoga-test.testing.com.ua/ana-godinho-gil/,"English, pll_63f275088752b"
,"Ana Perez Soler",http://yoga-test.testing.com.ua/ana-perez-soler/,"English, pll_63ebf240d92a5"
,"Andre Riehl",http://yoga-test.testing.com.ua/andre-riehl/,"English, pll_63ecde7f5a556"
,"Andrey Safronov",http://yoga-test.testing.com.ua/andrey-safronov/,"English, pll_63f90ddf50e5f"
,"Aoife Lydon",http://yoga-test.testing.com.ua/aoife-lydon/,"English, pll_63f3a7440360b"
,"Arnaud Bazillais",http://yoga-test.testing.com.ua/arnaud-bazillais/,"English, pll_63ee24eed59dd"
,"Carlos Fiel",http://yoga-test.testing.com.ua/carlos-fiel/,"English, pll_63f4b83a421ce"
,"Catherine Laugee",http://yoga-test.testing.com.ua/catherine-laugee/,"English, pll_63ee15385af56"
,"Congress in Zinal",http://yoga-test.testing.com.ua/congress-in-zinal/,"English, pll_63ee89bb7be40"
,"Contact Us",http://yoga-test.testing.com.ua/contact-us/,"English, pll_63ee6fd61cdb8"
,"Cristina Ferreira",http://yoga-test.testing.com.ua/cristina-ferreira/,"English, pll_63ecdf65f3ce8"
,"Dagmar Blight",http://yoga-test.testing.com.ua/dagmar-blight/,"English, pll_63f219fcde994"
,"Dagmar Nora Shorny",http://yoga-test.testing.com.ua/dagmar-nora-shorny/,"English, pll_63f4afe7a26c3"
,"Dan Sion",http://yoga-test.testing.com.ua/dan-sion/,"English, pll_63ebf054ac559"
,"Denis Perret",http://yoga-test.testing.com.ua/denis-perret/,"English, pll_63ebe97dc59f6"
,"Dipa Hélène Marinetti",http://yoga-test.testing.com.ua/dipa-helene-marinetti/,"English, pll_63f27281b1cb0"
,"Dmitry Danilov",http://yoga-test.testing.com.ua/dmitry-danilov/,"English, pll_63ee18d1268c1"
,"EUY Members",http://yoga-test.testing.com.ua/euy-members/,"English, pll_63efda533441d"
,"EUY spirituality program",http://yoga-test.testing.com.ua/euy-spirituality-program/,News
,"Fabienne De Croo",http://yoga-test.testing.com.ua/fabienne-de-croo/,"English, pll_63fcabe436519"
,"Flor Stickens",http://yoga-test.testing.com.ua/flor-stickens/,"English, pll_63ebe3a9f38af"
,"François Lorin",http://yoga-test.testing.com.ua/francois-lorin/,"English, pll_63ebf474a3b47"
,"Frans Moors",http://yoga-test.testing.com.ua/frans-moors/,"English, pll_63f21f5bbc37a"
